u(k), y(k), y_simulation(k)
28.154081, 34.000000, 34.680000
29.912397, 34.000000, 33.702975
31.331035, 34.000000, 34.004289
32.459006, 34.000000, 34.004289
33.560828, 33.930000, 34.004289
34.189553, 34.000000, 33.903713
34.867627, 33.930000, 34.035306
35.360017, 33.930000, 33.903713
35.696291, 33.930000, 33.934730
35.902069, 33.930000, 33.934730
59.187559, 33.930000, 33.934730
78.123524, 33.930000, 33.934730
93.330195, 33.930000, 33.936823
100.000000, 34.000000, 33.940128
100.000000, 33.930000, 34.043386
100.000000, 34.000000, 33.913939
100.000000, 34.000000, 34.047440
100.000000, 34.000000, 34.017850
100.000000, 34.060000, 34.018975
100.000000, 34.120000, 34.106164
100.000000, 34.180000, 34.166477
100.000000, 34.250000, 34.226548
100.000000, 34.310000, 34.323309
100.000000, 34.430000, 34.414159
100.000000, 34.560000, 34.588800
100.000000, 34.750000, 34.740166
100.000000, 34.870000, 34.960499
100.000000, 35.060000, 35.048725
100.000000, 35.250000, 35.268544
100.000000, 35.430000, 35.457346
100.000000, 35.620000, 35.631779
100.000000, 35.810000, 35.825012
100.000000, 36.000000, 36.013814
100.000000, 36.180000, 36.202616
99.809936, 36.430000, 36.377049
99.256675, 36.620000, 36.656490
98.216072, 36.870000, 36.818705
96.969707, 37.060000, 37.093715
95.371023, 37.310000, 37.255930
93.491978, 37.560000, 37.530940
91.393950, 37.810000, 37.779363
89.319158, 38.000000, 38.027787
87.308491, 38.180000, 38.190002
85.141572, 38.430000, 38.364435
83.049682, 38.620000, 38.643876
80.842537, 38.870000, 38.806091
78.554150, 39.120000, 39.080917
76.212442, 39.370000, 39.328662
74.028922, 39.560000, 39.575664
71.983282, 39.750000, 39.735897
70.086104, 39.930000, 39.922221
68.278555, 40.120000, 40.093644
66.540105, 40.310000, 40.283446
64.850656, 40.500000, 40.468677
63.413445, 40.620000, 40.653987
61.950123, 40.810000, 40.738617
60.452847, 41.000000, 40.954797
58.946852, 41.180000, 41.139904
57.579505, 41.310000, 41.310478
56.343922, 41.430000, 41.413531
55.169546, 41.560000, 41.524486
54.061358, 41.680000, 41.654491
53.150660, 41.750000, 41.765944
52.418731, 41.810000, 41.810184
51.628321, 41.930000, 41.862346
50.933940, 42.000000, 42.005246
50.526413, 42.000000, 42.050000
50.150326, 42.060000, 42.016495
49.786244, 42.120000, 42.100164
49.608589, 42.120000, 42.157212
49.379696, 42.180000, 42.128181
49.284832, 42.180000, 42.212175
