u(k), y(k), y_simulation(k)
28.452503, 33.750000, 34.680000
30.067043, 33.750000, 33.343775
30.961232, 33.810000, 33.755865
31.532635, 33.810000, 33.842073
31.887904, 33.810000, 33.815487
31.940447, 33.870000, 33.815487
31.950663, 33.870000, 33.901695
31.933062, 33.870000, 33.875109
31.739155, 33.930000, 33.875109
31.587756, 33.930000, 33.961317
37.583512, 33.930000, 33.934730
41.324322, 34.000000, 33.934730
43.739888, 34.000000, 34.037689
45.273828, 34.000000, 34.010058
46.229412, 34.000000, 34.012123
46.650776, 34.060000, 34.013342
46.883155, 34.060000, 34.100318
46.995439, 34.060000, 34.074046
47.031474, 34.060000, 34.074095
47.018889, 34.060000, 34.074086
46.975261, 34.060000, 34.073884
46.911438, 34.060000, 34.073593
46.675817, 34.120000, 34.079305
46.500676, 34.120000, 34.173593
46.236244, 34.180000, 34.152126
45.913306, 34.250000, 34.241616
45.599251, 34.310000, 34.317671
45.306327, 34.370000, 34.373979
45.037304, 34.430000, 34.434139
44.763623, 34.500000, 34.494042
44.674900, 34.500000, 34.568150
44.393396, 34.620000, 34.537147
44.301583, 34.620000, 34.709511
44.176796, 34.680000, 34.656244
44.003111, 34.750000, 34.742176
43.822284, 34.810000, 34.815820
43.793412, 34.810000, 34.870624
43.704506, 34.870000, 34.843528
43.573138, 34.930000, 34.929191
43.384493, 35.000000, 34.988296
43.339937, 35.000000, 35.061807
43.229562, 35.060000, 35.030324
43.072886, 35.120000, 35.116243
42.883570, 35.180000, 35.175525
42.644548, 35.250000, 35.234849
42.555862, 35.250000, 35.308649
42.248740, 35.370000, 35.277370
42.112651, 35.370000, 35.449482
41.930140, 35.430000, 35.396147
41.874096, 35.430000, 35.482247
41.716013, 35.500000, 35.455467
41.674024, 35.500000, 35.555763
41.549083, 35.560000, 35.524562
41.368034, 35.620000, 35.610630
41.149091, 35.680000, 35.670017
40.877955, 35.750000, 35.729339
40.597878, 35.810000, 35.802956
40.310894, 35.870000, 35.857883
40.018542, 35.930000, 35.917140
39.695308, 36.000000, 35.976402
39.377093, 36.060000, 36.050114
39.061486, 36.120000, 36.105114
38.747200, 36.180000, 36.164541
38.591734, 36.180000, 36.224004
38.356103, 36.250000, 36.197265
38.093351, 36.310000, 36.297573
37.812111, 36.370000, 36.352417
