u(k), y(k), y_simulation(k)
u(k), y(k), y_simulation(k)
u(k), y(k), y_simulation(k)
28.629326, 34.370000, 34.680000
30.584191, 34.370000, 34.234592
31.976449, 34.370000, 34.371955
32.905449, 34.370000, 34.371955
33.458614, 34.370000, 34.371955
34.221004, 34.310000, 34.371955
34.618818, 34.310000, 34.285747
35.238559, 34.250000, 34.312334
35.507147, 34.250000, 34.226125
36.096081, 34.180000, 34.252712
98.411503, 34.180000, 34.152136
100.000000, 34.180000, 34.183153
100.000000, 34.120000, 34.185708
100.000000, 34.180000, 34.103348
100.000000, 34.180000, 34.218944
100.000000, 34.120000, 34.194293
100.000000, 34.180000, 34.109311
100.000000, 34.180000, 34.223256
100.000000, 34.180000, 34.197621
100.000000, 34.250000, 34.198518
100.000000, 34.310000, 34.299815
100.000000, 34.370000, 34.355776
100.000000, 34.500000, 34.476366
100.000000, 34.620000, 34.684312
100.000000, 34.680000, 34.800302
100.000000, 34.870000, 34.833337
100.000000, 35.000000, 35.079742
100.000000, 35.180000, 35.182336
100.000000, 35.310000, 35.383356
100.000000, 35.500000, 35.490381
100.000000, 35.680000, 35.705769
100.000000, 35.930000, 35.880203
100.000000, 36.120000, 36.159644
100.000000, 36.370000, 36.321859
100.000000, 36.560000, 36.596869
100.000000, 36.810000, 36.759084
100.000000, 37.060000, 37.034093
100.000000, 37.310000, 37.282517
100.000000, 37.500000, 37.530940
100.000000, 37.680000, 37.693155
100.000000, 38.000000, 37.867589
100.000000, 38.180000, 38.247606
99.276012, 38.430000, 38.364435
97.480597, 38.620000, 38.643876
94.901382, 38.810000, 38.806091
91.268137, 39.060000, 38.994893
87.415663, 39.250000, 39.269903
82.970806, 39.500000, 39.432118
78.763072, 39.680000, 39.707128
74.234643, 39.930000, 39.854975
70.066869, 40.120000, 40.134416
66.263866, 40.310000, 40.296631
62.819235, 40.500000, 40.485433
59.803541, 40.680000, 40.674235
57.090357, 40.870000, 40.847965
54.653738, 41.060000, 41.038917
53.044381, 41.180000, 41.223882
51.457092, 41.370000, 41.306666
50.353799, 41.500000, 41.520049
49.635096, 41.620000, 41.615469
49.032222, 41.750000, 41.722898
48.498645, 41.870000, 41.848990
47.823668, 42.000000, 41.956396
47.018633, 42.120000, 42.083223
46.525302, 42.180000, 42.191869
46.089937, 42.250000, 42.219421
45.696387, 42.310000, 42.288539
45.256708, 42.370000, 42.339351
44.713745, 42.430000, 42.395602
44.548047, 42.430000, 42.452489
44.028199, 42.500000, 42.423654
43.798550, 42.500000, 42.522714
43.763369, 42.500000, 42.490578
43.852956, 42.500000, 42.489612
43.507149, 42.560000, 42.488561
43.326030, 42.560000, 42.573487
43.255881, 42.560000, 42.545824
43.763154, 42.500000, 42.545035
44.177383, 42.500000, 42.458122
44.497738, 42.500000, 42.483990
45.320515, 42.430000, 42.483136
45.903241, 42.430000, 42.381997
46.787171, 42.370000, 42.412386
47.363194, 42.370000, 42.325570
47.680946, 42.370000, 42.351952
47.788387, 42.370000, 42.352013
47.731261, 42.370000, 42.351743
48.056416, 42.310000, 42.351311
48.154661, 42.310000, 42.264900
48.074251, 42.310000, 42.291928
48.371291, 42.250000, 42.292706
48.451116, 42.250000, 42.207116
48.966457, 42.180000, 42.234740
49.733119, 42.120000, 42.135340
50.182807, 42.120000, 42.081440
50.398285, 42.120000, 42.109241
50.957707, 42.060000, 42.109977
51.783486, 42.000000, 42.024109
52.295837, 42.000000, 41.964512
53.155172, 41.930000, 41.991371
53.672369, 41.930000, 41.891132
54.430196, 41.870000, 41.922144
55.358444, 41.810000, 41.836165
56.400215, 41.750000, 41.776841
57.595134, 41.680000, 41.717779
58.803196, 41.620000, 41.644917
60.007721, 41.560000, 41.590731
61.197793, 41.500000, 41.531653
62.447137, 41.430000, 41.472734
63.132469, 41.430000, 41.399962
63.896119, 41.370000, 41.432089
64.212122, 41.370000, 41.347096
64.706770, 41.310000, 41.374822
64.838260, 41.310000, 41.289733
64.708227, 41.310000, 41.317783
64.912325, 41.250000, 41.319483
64.884777, 41.250000, 41.235209
64.709213, 41.250000, 41.263855
65.049247, 41.180000, 41.265920
64.621427, 41.250000, 41.167393
64.240701, 41.250000, 41.301083
63.937379, 41.250000, 41.271657
63.219549, 41.310000, 41.272907
62.732377, 41.310000, 41.359989
61.941730, 41.370000, 41.334117
60.949947, 41.430000, 41.420820
59.751540, 41.500000, 41.480412
58.510420, 41.560000, 41.554504
57.775481, 41.560000, 41.609819
56.937179, 41.620000, 41.583041
56.036229, 41.680000, 41.669450
55.022309, 41.750000, 41.728908
54.535599, 41.750000, 41.802210
53.946452, 41.810000, 41.770616
53.790628, 41.810000, 41.855902
53.447393, 41.870000, 41.828310
53.460645, 41.870000, 41.913389
53.219343, 41.930000, 41.885252
52.680600, 42.000000, 41.969561
51.983336, 42.060000, 42.041456
51.658215, 42.060000, 42.095013
51.088061, 42.120000, 42.067067
50.826633, 42.120000, 42.151778
50.274039, 42.180000, 42.123539
49.400132, 42.250000, 42.208523
48.871119, 42.250000, 42.281579
48.600059, 42.250000, 42.249973
48.518962, 42.250000, 42.249524
48.065652, 42.310000, 42.249283
47.838798, 42.310000, 42.335266
47.784882, 42.310000, 42.307977
47.855475, 42.310000, 42.306901
48.005912, 42.310000, 42.306068
48.200191, 42.310000, 42.305273
48.410157, 42.310000, 42.304596
48.615181, 42.310000, 42.303866
48.799793, 42.310000, 42.302607
48.948339, 42.310000, 42.301445
49.048717, 42.310000, 42.300790
49.096778, 42.310000, 42.300510
49.095627, 42.310000, 42.300009
49.049226, 42.310000, 42.299453
49.470338, 42.250000, 42.299232
49.726235, 42.250000, 42.213053
49.847900, 42.250000, 42.239838
50.458953, 42.180000, 42.240138
50.840961, 42.180000, 42.139910
51.552396, 42.120000, 42.171282
51.996746, 42.120000, 42.085406
52.231898, 42.120000, 42.112273
52.306817, 42.120000, 42.112481
52.770947, 42.060000, 42.112602
53.017651, 42.060000, 42.026429
53.094527, 42.060000, 42.052969
