u(k), y(k), y_simulation(k)
u(k), y(k), y_simulation(k)
34.036134, 37.250000, 37.280259
34.118320, 37.180000, 37.248802
34.186140, 37.180000, 37.147902
34.239792, 37.180000, 37.178866
34.280495, 37.180000, 37.178987
34.101572, 37.250000, 37.178941
34.162421, 37.180000, 37.279373
34.208823, 37.180000, 37.147686
34.242662, 37.180000, 37.178650
34.265691, 37.180000, 37.178624
34.279555, 37.180000, 37.178618
34.285787, 37.180000, 37.178422
34.285174, 37.180000, 37.178116
34.456762, 37.120000, 37.178077
34.587834, 37.120000, 37.091996
34.685173, 37.120000, 37.118685
34.933712, 37.060000, 37.118764
35.125164, 37.060000, 37.032412
35.268652, 37.060000, 37.058925
35.371877, 37.060000, 37.059016
35.441862, 37.060000, 37.059083
35.663606, 37.000000, 37.059130
35.828827, 37.000000, 36.972953
35.947237, 37.000000, 36.999556
36.027019, 37.000000, 36.999560
36.283770, 36.930000, 36.999726
36.474762, 36.930000, 36.899404
36.790965, 36.870000, 36.930614
37.029169, 36.870000, 36.844719
37.203789, 36.870000, 36.871676
37.327348, 36.870000, 36.871957
37.589187, 36.810000, 36.872164
37.784367, 36.810000, 36.786100
37.925127, 36.810000, 36.812954
38.022046, 36.810000, 36.813279
38.084318, 36.810000, 36.813517
38.119523, 36.810000, 36.813682
38.133738, 36.810000, 36.813990
38.311252, 36.750000, 36.814366
38.264539, 36.810000, 36.728607
38.216790, 36.810000, 36.841867
38.170989, 36.810000, 36.815627
38.129260, 36.810000, 36.815877
38.092871, 36.810000, 36.816223
38.062901, 36.810000, 36.816606
37.861412, 36.870000, 36.816888
37.881227, 36.810000, 36.903294
37.724552, 36.870000, 36.790632
37.784062, 36.810000, 36.903507
37.840831, 36.810000, 36.790752
37.716395, 36.870000, 36.817522
37.803782, 36.810000, 36.903816
37.705654, 36.870000, 36.790941
37.636018, 36.870000, 36.903655
37.589726, 36.870000, 36.876994
37.562325, 36.870000, 36.876928
37.550037, 36.870000, 36.876872
37.549706, 36.870000, 36.876654
37.737111, 36.810000, 36.876524
37.896266, 36.810000, 36.790178
38.030474, 36.810000, 36.816706
38.142855, 36.810000, 36.816806
38.236698, 36.810000, 36.816727
38.314550, 36.810000, 36.816719
38.378697, 36.810000, 36.816689
38.431079, 36.810000, 36.816549
38.473025, 36.810000, 36.816452
38.505679, 36.810000, 36.816391
38.709049, 36.750000, 36.816359
