heater_temp, environment_temp
33.870000, 28.060000
33.870000, 28.060000
33.870000, 28.060000
33.870000, 28.060000
33.810000, 28.120000
33.810000, 28.120000
33.810000, 28.120000
33.810000, 28.120000
33.810000, 28.120000
33.810000, 28.180000
33.870000, 28.180000
33.870000, 28.120000
33.930000, 28.120000
34.060000, 28.060000
34.120000, 28.120000
34.250000, 28.120000
34.310000, 28.120000
34.500000, 28.060000
34.620000, 28.120000
34.750000, 28.120000
34.870000, 28.120000
35.060000, 28.120000
35.250000, 28.120000
35.430000, 28.180000
35.620000, 28.180000
35.810000, 28.180000
36.000000, 28.120000
36.120000, 28.120000
36.310000, 28.120000
36.560000, 28.120000
36.680000, 28.120000
36.870000, 28.120000
37.120000, 28.120000
37.310000, 28.180000
37.500000, 28.180000
37.680000, 28.120000
37.870000, 28.120000
38.060000, 28.120000
38.250000, 28.120000
38.430000, 28.180000
38.620000, 28.120000
38.810000, 28.180000
39.000000, 28.180000
39.180000, 28.250000
39.370000, 28.250000
39.560000, 28.310000
39.680000, 28.310000
39.870000, 28.310000
40.060000, 28.310000
40.250000, 28.310000
40.370000, 28.310000
40.620000, 28.310000
40.810000, 28.310000
41.000000, 28.370000
41.180000, 28.310000
41.370000, 28.310000
41.560000, 28.310000
41.750000, 28.250000
41.930000, 28.250000
42.120000, 28.310000
42.250000, 28.310000
42.430000, 28.250000
42.560000, 28.250000
42.750000, 28.250000
42.870000, 28.180000
43.000000, 28.180000
43.120000, 28.120000
43.310000, 28.120000
43.430000, 28.120000
43.560000, 28.120000
43.750000, 28.120000
43.870000, 28.120000
44.000000, 28.120000
44.060000, 28.060000
44.250000, 28.060000
44.310000, 28.060000
44.430000, 28.120000
44.560000, 28.120000
44.680000, 28.180000
44.810000, 28.180000
44.870000, 28.250000
45.000000, 28.250000
45.120000, 28.250000
45.250000, 28.180000
45.370000, 28.250000
45.430000, 28.250000
45.560000, 28.310000
45.620000, 28.310000
45.750000, 28.250000
45.810000, 28.310000
45.870000, 28.370000
46.000000, 28.370000
46.000000, 28.370000
46.120000, 28.310000
46.180000, 28.310000
46.180000, 28.310000
46.250000, 28.310000
46.250000, 28.250000
46.310000, 28.250000
46.370000, 28.250000
46.370000, 28.250000
46.500000, 28.180000
46.560000, 28.180000
46.560000, 28.180000
46.620000, 28.180000
46.680000, 28.180000
46.750000, 28.180000
46.810000, 28.180000
46.810000, 28.180000
46.870000, 28.180000
46.930000, 28.180000
47.000000, 28.180000
47.060000, 28.180000
47.120000, 28.180000
47.180000, 28.180000
47.250000, 28.180000
47.250000, 28.180000
47.370000, 28.250000
47.430000, 28.250000
47.430000, 28.250000
47.500000, 28.250000
47.560000, 28.250000
47.620000, 28.250000
47.680000, 28.250000
47.750000, 28.250000
47.810000, 28.250000
47.870000, 28.250000
47.930000, 28.250000
48.000000, 28.310000
48.060000, 28.310000
48.120000, 28.310000
48.180000, 28.370000
48.250000, 28.370000
48.310000, 28.430000
48.370000, 28.370000
48.430000, 28.430000
48.500000, 28.370000
48.560000, 28.310000
48.620000, 28.310000
48.620000, 28.250000
48.680000, 28.180000
48.750000, 28.180000
48.810000, 28.180000
48.810000, 28.120000
48.870000, 28.060000
48.930000, 28.060000
49.000000, 28.060000
49.060000, 28.060000
49.120000, 28.000000
49.120000, 27.930000
49.180000, 27.930000
49.250000, 27.930000
49.310000, 27.930000
49.430000, 27.870000
49.500000, 27.870000
49.560000, 27.870000
49.620000, 27.870000
49.680000, 27.810000
49.750000, 27.810000
49.810000, 27.810000
49.870000, 27.810000
49.930000, 27.810000
50.000000, 27.810000
50.060000, 27.810000
50.120000, 27.810000
50.180000, 27.870000
50.180000, 27.870000
50.120000, 27.870000
50.120000, 27.930000
50.120000, 27.930000
50.120000, 27.930000
50.120000, 27.930000
50.120000, 27.930000
50.120000, 28.000000
50.120000, 28.000000
50.180000, 28.000000
50.180000, 28.000000
50.180000, 28.000000
50.250000, 28.060000
50.250000, 28.060000
50.310000, 28.060000
50.310000, 28.060000
50.370000, 28.060000
50.370000, 28.120000
50.500000, 28.120000
50.560000, 28.060000
50.560000, 28.060000
50.680000, 28.000000
