heater_temp, environment_temp
49.180000, 28.000000
49.180000, 28.000000
49.180000, 28.000000
49.180000, 28.000000
49.180000, 28.000000
49.180000, 28.000000
49.180000, 28.000000
49.180000, 28.000000
49.250000, 28.000000
49.180000, 28.000000
49.250000, 28.000000
49.250000, 28.000000
49.250000, 28.000000
49.250000, 28.060000
49.310000, 28.000000
49.310000, 28.060000
49.370000, 28.060000
49.370000, 28.060000
49.370000, 28.060000
49.430000, 28.060000
49.430000, 28.060000
49.430000, 28.120000
49.500000, 28.120000
49.500000, 28.120000
49.500000, 28.120000
49.560000, 28.120000
49.560000, 28.120000
49.620000, 28.120000
49.620000, 28.120000
49.620000, 28.120000
49.680000, 28.180000
49.680000, 28.180000
49.680000, 28.180000
49.750000, 28.180000
49.750000, 28.180000
49.750000, 28.180000
49.810000, 28.180000
49.810000, 28.180000
49.810000, 28.180000
49.870000, 28.250000
49.870000, 28.250000
49.870000, 28.250000
49.930000, 28.250000
49.930000, 28.250000
50.000000, 28.250000
50.000000, 28.250000
50.000000, 28.250000
50.000000, 28.250000
50.060000, 28.250000
50.060000, 28.250000
50.060000, 28.250000
50.120000, 28.250000
50.120000, 28.250000
50.120000, 28.250000
50.180000, 28.250000
50.180000, 28.250000
50.180000, 28.250000
50.180000, 28.250000
50.180000, 28.250000
50.180000, 28.310000
50.180000, 28.250000
50.180000, 28.250000
50.180000, 28.250000
50.180000, 28.250000
50.180000, 28.310000
50.180000, 28.250000
50.180000, 28.250000
50.180000, 28.250000
50.250000, 28.250000
50.180000, 28.250000
50.250000, 28.250000
50.250000, 28.250000
50.250000, 28.250000
50.250000, 28.180000
50.250000, 28.250000
50.250000, 28.180000
50.310000, 28.180000
50.310000, 28.180000
50.310000, 28.180000
50.310000, 28.120000
50.310000, 28.180000
50.310000, 28.120000
50.370000, 28.120000
50.370000, 28.060000
50.370000, 28.060000
50.370000, 28.060000
50.370000, 28.000000
50.370000, 28.000000
50.370000, 28.000000
50.430000, 28.000000
50.430000, 27.930000
50.430000, 27.930000
50.430000, 27.930000
50.430000, 27.930000
50.430000, 27.870000
50.430000, 27.870000
50.430000, 27.870000
50.500000, 27.870000
50.500000, 27.870000
50.560000, 27.870000
50.560000, 27.870000
50.560000, 27.870000
50.560000, 27.870000
50.560000, 27.870000
50.560000, 27.870000
50.560000, 27.870000
50.560000, 27.870000
50.620000, 27.870000
50.620000, 27.870000
50.620000, 27.870000
50.620000, 27.870000
50.620000, 27.870000
50.620000, 27.870000
50.620000, 27.870000
50.620000, 27.870000
50.680000, 27.870000
50.680000, 27.870000
50.750000, 27.870000
50.750000, 27.930000
50.750000, 27.930000
50.810000, 27.930000
50.810000, 27.930000
50.810000, 27.930000
50.810000, 27.930000
50.810000, 27.930000
50.810000, 28.000000
50.870000, 28.000000
50.870000, 28.000000
50.870000, 28.000000
50.870000, 28.000000
50.870000, 28.000000
50.870000, 28.000000
50.870000, 28.000000
50.870000, 28.000000
50.870000, 28.000000
50.870000, 28.000000
50.870000, 28.060000
50.870000, 28.060000
50.870000, 28.060000
50.870000, 28.060000
50.930000, 28.060000
50.930000, 28.060000
50.930000, 28.060000
50.930000, 28.060000
50.930000, 28.060000
50.930000, 28.060000
50.930000, 28.060000
50.930000, 28.060000
51.000000, 28.060000
51.000000, 28.060000
51.000000, 28.060000
51.000000, 28.060000
51.000000, 28.060000
51.000000, 28.060000
51.000000, 28.060000
51.000000, 28.060000
51.000000, 28.060000
51.000000, 28.060000
51.060000, 28.000000
51.060000, 28.000000
51.060000, 28.000000
51.060000, 28.000000
51.060000, 27.930000
51.060000, 27.930000
51.060000, 27.930000
51.060000, 27.930000
51.060000, 27.870000
51.060000, 27.870000
51.060000, 27.870000
51.060000, 27.870000
51.120000, 27.810000
51.120000, 27.810000
51.120000, 27.810000
51.120000, 27.810000
51.120000, 27.810000
51.120000, 27.810000
51.120000, 27.810000
51.120000, 27.810000
51.120000, 27.750000
51.120000, 27.750000
51.120000, 27.750000
51.120000, 27.750000
51.120000, 27.750000
51.120000, 27.680000
51.120000, 27.680000
51.120000, 27.680000
51.120000, 27.680000
51.120000, 27.620000
51.120000, 27.620000
51.180000, 27.620000
51.120000, 27.620000
51.120000, 27.620000
51.120000, 27.560000
51.120000, 27.560000
51.180000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.120000, 27.560000
51.180000, 27.560000
51.180000, 27.560000
51.180000, 27.560000
51.180000, 27.620000
51.180000, 27.560000
51.250000, 27.620000
51.250000, 27.620000
51.250000, 27.620000
51.250000, 27.620000
51.250000, 27.680000
51.250000, 27.620000
51.250000, 27.620000
51.250000, 27.680000
51.310000, 27.680000
51.310000, 27.680000
51.310000, 27.680000
51.250000, 27.680000
51.310000, 27.680000
51.250000, 27.750000
51.250000, 27.750000
51.310000, 27.750000
51.250000, 27.750000
51.250000, 27.680000
51.310000, 27.750000
51.250000, 27.750000
51.250000, 27.750000
51.250000, 27.750000
51.250000, 27.750000
51.250000, 27.750000
51.250000, 27.750000
51.250000, 27.750000
51.250000, 27.750000
51.250000, 27.750000
51.250000, 27.680000
51.310000, 27.680000
51.250000, 27.680000
51.310000, 27.750000
51.250000, 27.680000
51.250000, 27.680000
51.250000, 27.680000
51.310000, 27.750000
51.310000, 27.750000
51.310000, 27.750000
51.310000, 27.750000
51.310000, 27.750000
51.310000, 27.750000
51.310000, 27.750000
51.310000, 27.810000
51.310000, 27.750000
51.370000, 27.810000
51.370000, 27.810000
51.370000, 27.810000
51.370000, 27.810000
51.370000, 27.870000
51.370000, 27.810000
51.370000, 27.810000
51.370000, 27.870000
51.370000, 27.870000
51.370000, 27.870000
51.370000, 27.870000
51.370000, 27.870000
51.430000, 27.870000
51.430000, 27.870000
51.430000, 27.870000
51.430000, 27.870000
51.430000, 27.870000
51.430000, 27.930000
51.430000, 27.870000
51.430000, 27.930000
51.430000, 27.930000
51.430000, 27.930000
51.430000, 27.930000
51.430000, 27.930000
51.430000, 28.000000
51.370000, 27.930000
51.370000, 27.930000
51.370000, 27.930000
51.370000, 27.930000
51.370000, 27.930000
51.310000, 28.000000
51.310000, 28.000000
51.310000, 28.000000
51.310000, 28.000000
51.250000, 28.000000
51.250000, 28.000000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.180000, 28.060000
51.250000, 28.060000
51.180000, 28.060000
51.180000, 28.060000
51.180000, 28.120000
51.180000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.250000, 28.060000
51.310000, 28.060000
51.310000, 28.060000
51.310000, 28.060000
51.310000, 28.060000
51.310000, 28.060000
51.370000, 28.060000
51.370000, 28.060000
51.370000, 28.060000
51.370000, 28.060000
51.370000, 28.060000
51.370000, 28.060000
51.370000, 28.060000
51.370000, 28.060000
51.370000, 28.000000
51.370000, 28.000000
51.370000, 28.000000
51.370000, 28.000000
51.370000, 28.000000
51.370000, 28.000000
51.370000, 28.000000
51.370000, 28.000000
51.370000, 27.930000
51.310000, 27.930000
51.370000, 27.930000
51.310000, 27.930000
51.310000, 27.930000
51.310000, 27.930000
51.310000, 27.930000
51.310000, 27.930000
51.310000, 27.930000
51.310000, 27.930000
51.310000, 27.930000
