47.87,28.37
47.87,28.37
47.87,28.37
47.87,28.43
47.81,28.37
47.81,28.43
47.81,28.37
47.81,28.43
47.75,28.43
47.75,28.43
47.75,28.43
47.75,28.43
47.75,28.43
47.68,28.43
47.68,28.43
47.68,28.43
47.68,28.43
47.68,28.5
47.68,28.43
47.68,28.43
47.68,28.43
47.68,28.43
47.68,28.5
47.68,28.43
47.68,28.5
47.68,28.5
47.68,28.5
47.68,28.5
47.68,28.5
47.68,28.5
47.75,28.5
47.75,28.5
47.68,28.5
47.75,28.5
47.75,28.5
47.75,28.5
47.75,28.5
47.75,28.5
47.75,28.5
47.75,28.5
47.75,28.5
47.81,28.5
47.81,28.5
47.81,28.5
47.87,28.43
47.87,28.43
47.93,28.43
47.93,28.43
48,28.43
48,28.43
48.06,28.43
48.06,28.43
48.06,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.37
48.12,28.37
48.12,28.37
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.18,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.43
48.12,28.5
48.12,28.43
48.12,28.43
48.12,28.5
48.12,28.5
48.18,28.5
48.18,28.5
48.18,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.31,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.31,28.5
48.31,28.5
48.31,28.5
48.25,28.43
48.25,28.5
48.25,28.43
48.25,28.43
48.25,28.43
48.25,28.43
48.18,28.43
48.25,28.43
48.25,28.43
48.25,28.5
48.25,28.43
48.25,28.43
48.31,28.43
48.31,28.43
48.31,28.43
48.31,28.43
48.31,28.43
48.37,28.43
48.31,28.43
48.31,28.43
48.31,28.43
48.31,28.37
48.31,28.43
48.31,28.43
48.31,28.43
48.31,28.43
48.31,28.43
48.31,28.43
48.31,28.37
48.31,28.37
48.31,28.37
48.31,28.37
48.31,28.37
48.25,28.37
48.25,28.37
48.25,28.37
48.25,28.37
48.25,28.37
48.25,28.37
48.25,28.37
48.25,28.37
48.25,28.43
48.25,28.37
48.25,28.37
48.25,28.43
48.25,28.43
48.25,28.43
48.25,28.43
48.25,28.43
48.25,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.25,28.5
48.31,28.5
48.25,28.5
48.31,28.5
48.25,28.5
48.31,28.5
48.31,28.5
48.31,28.5
48.31,28.5
48.31,28.5
48.31,28.56
48.31,28.5
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.25,28.56
48.25,28.56
48.25,28.56
48.25,28.56
48.18,28.56
48.25,28.56
48.25,28.62
48.25,28.56
48.25,28.62
48.25,28.62
48.25,28.56
48.25,28.56
48.25,28.62
48.25,28.56
48.25,28.56
48.31,28.62
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.37,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.37,28.56
48.31,28.56
48.31,28.56
48.31,28.56
48.37,28.56
48.31,28.62
48.37,28.56
48.37,28.56
48.37,28.56
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.62
48.37,28.68
48.37,28.62
48.37,28.68
48.37,28.68
48.37,28.62
48.37,28.68
48.37,28.68
48.37,28.68
48.37,28.68
48.37,28.68
48.37,28.68
48.37,28.68
48.37,28.68
48.37,28.75
48.37,28.75
48.37,28.75
48.37,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.5,28.75
48.5,28.75
48.5,28.75
48.5,28.75
48.5,28.75
48.5,28.75
48.5,28.75
48.5,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.43,28.75
48.37,28.81
48.43,28.81
48.43,28.81
48.43,28.81
48.43,28.81
48.43,28.81
