u(k), y(k)
24.888626, 34.430000, 24.064398
34.430000, 23.479629, 34.430000
23.091918, 34.430000, 22.863932
34.430000, 22.763136, 34.430000
22.761487, 34.430000, 23.348030
34.370000, 23.857173, 34.370000
24.294199, 34.370000, 100.000000
34.370000, 100.000000, 34.370000
100.000000, 34.370000, 100.000000
34.370000, 100.000000, 34.310000
100.000000, 34.310000, 100.000000
34.310000, 100.000000, 34.310000
100.000000, 34.310000, 100.000000
34.370000, 100.000000, 34.370000
100.000000, 34.430000, 100.000000
34.560000, 100.000000, 34.620000
100.000000, 34.750000, 100.000000
34.870000, 100.000000, 35.000000
100.000000, 35.180000, 100.000000
35.310000, 100.000000, 35.500000
100.000000, 35.680000, 100.000000
35.870000, 100.000000, 36.060000
100.000000, 36.310000, 100.000000
36.500000, 100.000000, 36.680000
100.000000, 36.930000, 100.000000
37.120000, 100.000000, 37.370000
100.000000, 37.620000, 100.000000
37.810000, 100.000000, 38.060000
100.000000, 38.310000, 100.000000
38.500000, 100.000000, 38.750000
100.000000, 39.000000, 100.000000
39.180000, 100.000000, 39.430000
100.000000, 39.680000, 100.000000
39.870000, 100.000000, 40.060000
100.000000, 40.250000, 100.000000
40.500000, 100.000000, 40.680000
100.000000, 40.870000, 100.000000
41.120000, 100.000000, 41.310000
100.000000, 41.500000, 100.000000
41.680000, 100.000000, 41.870000
99.012730, 42.060000, 96.916139
42.250000, 94.103289, 42.430000
90.721022, 42.620000, 86.980448
42.810000, 83.051172, 43.000000
79.152327, 43.180000, 75.792107
43.310000, 72.405444, 43.500000
69.158001, 43.680000, 66.514470
43.810000, 64.473460, 43.930000
62.326455, 44.120000, 60.624945
44.250000, 59.331040, 44.370000
58.814575, 44.430000, 58.214100
44.560000, 57.546270, 44.680000
56.649805, 44.810000, 56.093964
44.870000, 55.713129, 44.930000
55.294539, 45.000000, 54.855337
45.060000, 54.336649, 45.120000
54.217176, 45.120000, 53.835221
45.180000, 53.726162, 45.180000
53.794119, 45.180000, 53.373392
45.250000, 53.166368, 45.250000
53.106399, 45.250000, 53.140111
45.250000, 53.827138, 45.180000
54.386158, 45.180000, 54.821412
45.180000, 55.138822, 45.180000
55.861607, 45.120000, 56.869373
45.060000, 57.551678, 45.060000
58.478941, 45.000000, 59.054937
45.000000, 59.941303, 44.930000
60.442306, 44.930000, 61.148672
44.870000, 62.002253, 44.810000
62.448453, 44.810000, 63.099213
44.750000, 63.989231, 44.680000
64.970471, 44.620000, 65.505955
44.620000, 66.222782, 44.560000
66.571475, 44.560000, 67.164885
44.500000, 67.440270, 44.500000
68.084377, 44.430000, 68.415856
44.430000, 68.520955, 44.430000
68.982300, 44.370000, 69.209801
44.370000, 69.272826, 44.370000
69.231783, 44.370000, 69.646453
44.310000, 69.906326, 44.310000
70.057641, 44.310000, 70.136756
44.310000, 70.171339, 44.310000
70.183864, 44.310000, 70.191808
44.310000, 70.204516, 44.310000
70.228793, 44.310000, 69.756787
44.370000, 69.434563, 44.370000
69.236931, 44.370000, 68.630446
44.430000, 68.244716, 44.430000
68.042490, 44.430000, 67.989002
44.430000, 67.453945, 44.500000
67.161935, 44.500000, 66.549760
44.560000, 66.219426, 44.560000
66.112031, 44.560000, 65.659934
44.620000, 65.458947, 44.620000
64.933736, 44.680000, 64.674985
44.680000, 64.613759, 44.680000
64.096365, 44.750000, 63.833606
44.750000, 63.250493, 44.810000
62.938631, 44.810000, 62.829569
44.810000, 62.865581, 44.810000
63.002581, 44.810000, 63.204473
44.810000, 63.442089, 44.810000
63.691175, 44.810000, 63.932699
44.810000, 63.642758, 44.870000
63.457789, 44.870000, 63.348365
44.870000, 63.288560, 44.870000
63.256950, 44.870000, 63.239837
44.870000, 63.230430, 44.870000
63.226903, 44.870000, 63.230452
44.870000, 63.243709, 44.870000
63.269571, 44.870000, 63.310411
44.870000, 62.850309, 44.930000
62.527723, 44.930000, 62.314595
44.930000, 62.187453, 44.930000
62.127083, 44.930000, 62.117822
44.930000, 62.146891, 44.930000
62.203877, 44.930000, 62.280367
44.930000, 62.369689, 44.930000
62.466714, 44.930000, 62.567671
44.930000, 62.665542, 44.930000
62.751268, 44.930000, 62.818472
44.930000, 62.864328, 44.930000
62.889045, 44.930000, 62.894988
44.930000, 62.885817, 44.930000
62.865792, 44.930000, 62.240815
45.000000, 62.366418, 44.930000
61.868985, 45.000000, 62.105762
44.930000, 62.302966, 44.930000
62.467472, 44.930000, 63.117989
44.870000, 63.100752, 44.930000
63.599792, 44.870000, 63.456969
44.930000, 63.852375, 44.870000
63.624436, 44.930000, 63.945204
44.870000, 64.160238, 44.870000
64.283664, 44.870000, 64.330665
44.870000, 64.320084, 44.870000
64.269499, 44.870000, 64.198016
44.870000, 64.120150, 44.870000
64.046950, 44.870000, 63.984461
44.870000, 63.936482, 44.870000
63.903436, 44.870000, 63.885016
44.870000, 63.883146, 44.870000
63.898480, 44.870000, 63.929650
44.870000, 63.973604, 44.870000
64.026278, 44.870000, 64.083312
44.870000, 64.140640, 44.870000
64.194889, 44.870000, 64.243584
44.870000, 64.285187, 44.870000
64.319027, 44.870000, 64.345154
44.870000, 64.364201, 44.870000
64.377258, 44.870000, 64.385744
44.870000, 64.391252, 44.870000
64.395401, 44.870000, 64.399691
44.870000, 64.405389, 44.870000
63.900512, 44.930000, 63.531140
44.930000, 63.275529, 44.930000
63.114059, 44.930000, 63.029190
44.930000, 62.406970, 45.000000
61.986881, 45.000000, 61.731539
45.000000, 61.608162, 45.000000
61.075387, 45.060000, 60.241406
45.120000, 59.709116, 45.120000
58.902479, 45.180000, 57.810392
45.250000, 57.115144, 45.250000
56.219677, 45.310000, 55.186470
45.370000, 54.063249, 45.430000
52.799931, 45.500000, 52.046685
45.500000, 50.667358, 45.620000
49.857302, 45.620000, 48.973170
45.680000, 47.949673, 45.750000
47.422820, 45.750000, 46.751470
45.810000, 46.473676, 45.810000
45.966757, 45.870000, 45.783289
45.870000, 45.310207, 45.930000
45.108267, 45.930000, 45.089753
45.930000, 45.182222, 45.930000
44.729724, 46.000000, 44.443468
46.000000, 44.265449, 46.000000
44.152093, 46.000000, 44.072036
46.000000, 43.491573, 46.060000
43.042367, 46.060000, 42.694245
46.060000, 42.422292, 46.060000
42.206321, 46.060000, 42.033176
46.060000, 41.895458, 46.060000
41.784273, 46.060000, 41.689054
46.060000, 41.602015, 46.060000
42.031513, 46.000000, 42.329873
46.000000, 42.513918, 46.000000
42.595761, 46.000000, 43.185858
45.930000, 43.544032, 45.930000
44.222279, 45.870000, 44.611205
45.870000, 44.765507, 45.870000
44.733797, 45.870000, 45.071528
45.810000, 45.169757, 45.810000
45.085724, 45.810000, 45.384814
45.750000, 45.464770, 45.750000
45.381055, 45.750000, 45.781449
45.680000, 45.955941, 45.680000
45.967100, 45.680000, 45.867267
45.680000, 46.208387, 45.620000
46.371791, 45.620000, 46.400952
45.620000, 46.332654, 45.620000
46.194385, 45.620000, 46.522594
45.560000, 46.691827, 45.560000
47.250509, 45.500000, 47.585349
45.500000, 47.747247, 45.500000
47.777372, 45.500000, 48.305995
