u(k), y(k)
100.000000, 34.870000
100.000000, 34.930000
100.000000, 34.930000
100.000000, 35.000000
100.000000, 35.000000
100.000000, 35.000000
100.000000, 35.060000
100.000000, 35.120000
100.000000, 35.120000
100.000000, 35.180000
100.000000, 35.250000
100.000000, 35.370000
100.000000, 35.500000
100.000000, 35.620000
100.000000, 35.680000
100.000000, 35.930000
100.000000, 36.060000
100.000000, 36.250000
100.000000, 36.370000
100.000000, 36.620000
100.000000, 36.810000
100.000000, 37.000000
100.000000, 37.250000
100.000000, 37.430000
100.000000, 37.680000
100.000000, 37.870000
100.000000, 38.120000
100.000000, 38.310000
100.000000, 38.560000
100.000000, 38.750000
100.000000, 39.000000
100.000000, 39.250000
100.000000, 39.430000
100.000000, 39.680000
100.000000, 39.870000
100.000000, 40.060000
100.000000, 40.310000
100.000000, 40.500000
100.000000, 40.750000
100.000000, 40.930000
100.000000, 41.120000
100.000000, 41.370000
100.000000, 41.560000
99.857350, 41.750000
98.490612, 41.930000
96.131198, 42.120000
93.065418, 42.310000
89.016130, 42.560000
85.418537, 42.680000
81.650079, 42.870000
77.835897, 43.060000
74.072084, 43.250000
70.515668, 43.430000
67.110092, 43.620000
63.893139, 43.810000
61.485663, 43.930000
59.647026, 44.060000
57.729851, 44.250000
56.329805, 44.370000
55.184305, 44.500000
54.245437, 44.620000
53.297400, 44.750000
52.343769, 44.870000
51.814435, 44.930000
50.919374, 45.060000
50.263551, 45.120000
49.112355, 45.250000
48.122785, 45.310000
47.210557, 45.370000
46.319011, 45.430000
45.327089, 45.500000
44.837703, 45.500000
44.196521, 45.560000
43.936716, 45.560000
43.946348, 45.560000
44.137820, 45.560000
44.441402, 45.560000
45.314522, 45.500000
46.663985, 45.430000
47.720540, 45.430000
49.014568, 45.370000
50.434855, 45.310000
51.380457, 45.310000
52.432607, 45.250000
53.610226, 45.180000
55.270973, 45.060000
56.743505, 45.000000
58.123256, 44.930000
59.319631, 44.870000
60.361106, 44.810000
61.284457, 44.750000
62.211572, 44.680000
63.067112, 44.620000
63.884199, 44.560000
64.687316, 44.500000
66.090956, 44.370000
66.841776, 44.370000
67.625301, 44.310000
68.456239, 44.250000
69.429624, 44.180000
69.928337, 44.180000
71.111918, 44.060000
71.796205, 44.060000
72.110117, 44.060000
72.672505, 44.000000
72.410780, 44.060000
72.061229, 44.060000
72.194069, 44.000000
72.208410, 44.000000
71.642957, 44.060000
71.183045, 44.060000
70.325734, 44.120000
69.718386, 44.120000
68.826030, 44.180000
68.272306, 44.180000
68.007179, 44.180000
67.383800, 44.250000
66.592506, 44.310000
66.201317, 44.310000
65.609175, 44.370000
