u(k), yzad(k), y(k), y_simulation(k)
0.000000, 33.180000, 34.310000, 33.180000
100.000000, 33.180000, 34.310000, 34.712556
99.491500, 33.180000, 34.310000, 34.301688
100.000000, 33.180000, 34.250000, 34.202154
89.150500, 33.180000, 34.250000, 34.432393
88.669000, 33.180000, 34.250000, 34.726157
88.187500, 33.180000, 34.250000, 34.726711
87.706000, 33.180000, 34.250000, 34.686569
87.224500, 33.180000, 34.250000, 34.655009
86.743000, 33.180000, 34.250000, 34.651847
74.800000, 33.180000, 34.310000, 34.648685
84.659500, 33.180000, 34.310000, 34.726898
61.228000, 33.180000, 34.430000, 34.701920
68.029750, 33.180000, 34.500000, 34.817629
68.070250, 33.180000, 34.560000, 34.873968
54.894250, 33.180000, 34.680000, 34.867193
50.122000, 33.180000, 34.810000, 34.969988
48.929500, 33.180000, 34.930000, 35.121452
100.000000, 42.000000, 35.060000, 35.186603
0.000000, 42.000000, 35.180000, 35.264925
0.000000, 42.000000, 35.370000, 35.362770
10.982250, 42.000000, 35.500000, 35.769070
13.448250, 42.000000, 35.620000, 35.633351
12.222000, 42.000000, 35.750000, 35.474937
14.575500, 42.000000, 35.870000, 35.649660
13.236750, 42.000000, 36.000000, 35.804662
4.016250, 42.000000, 36.180000, 35.939401
24.367500, 42.000000, 36.250000, 36.141909
16.128000, 42.000000, 36.370000, 36.172719
27.936000, 42.000000, 36.430000, 36.271051
27.438750, 42.000000, 36.500000, 36.361449
30.548250, 42.000000, 36.560000, 36.458768
31.902750, 42.000000, 36.620000, 36.537328
44.691750, 42.000000, 36.620000, 36.627324
35.651250, 42.000000, 36.680000, 36.616050
35.041500, 42.000000, 36.750000, 36.711127
49.500000, 42.000000, 36.750000, 36.836918
65.234250, 42.000000, 36.680000, 36.811885
55.532250, 42.000000, 36.680000, 36.689852
57.926250, 42.000000, 36.680000, 36.768985
60.320250, 42.000000, 36.680000, 36.868821
62.714250, 42.000000, 36.680000, 36.874774
65.108250, 42.000000, 36.680000, 36.857366
67.502250, 42.000000, 36.680000, 36.873088
81.357750, 42.000000, 36.620000, 36.888810
73.410750, 42.000000, 36.620000, 36.823157
75.831750, 42.000000, 36.620000, 36.860695
78.252750, 42.000000, 36.620000, 36.920294
80.673750, 42.000000, 36.620000, 36.927821
83.094750, 42.000000, 36.620000, 36.915322
85.515750, 42.000000, 36.620000, 36.931222
76.475250, 42.000000, 36.680000, 36.947121
75.865500, 42.000000, 36.750000, 37.044395
90.324000, 42.000000, 36.750000, 37.133415
81.225000, 42.000000, 36.810000, 37.079985
82.467000, 42.000000, 36.870000, 37.134264
70.310250, 42.000000, 37.000000, 37.247503
83.562750, 42.000000, 37.060000, 37.406767
