u(k), yzad(k), y(k), y_simulation(k)
6.000000, 33.180000, 33.930000, 33.180000
26.000000, 33.180000, 33.930000, 34.197183
25.662500, 33.180000, 33.930000, 33.924484
25.325000, 33.180000, 33.930000, 33.847918
24.987500, 33.180000, 33.930000, 33.869705
24.650000, 33.180000, 33.930000, 33.923191
24.312500, 33.180000, 33.930000, 33.920975
23.975000, 33.180000, 33.930000, 33.918759
23.637500, 33.180000, 33.930000, 33.916542
23.300000, 33.180000, 33.930000, 33.914326
22.962500, 33.180000, 33.930000, 33.912109
22.625000, 33.180000, 33.930000, 33.909893
22.287500, 33.180000, 33.930000, 33.907676
21.950000, 33.180000, 33.930000, 33.905460
21.612500, 33.180000, 33.930000, 33.903244
21.275000, 33.180000, 33.930000, 33.901027
20.937500, 33.180000, 33.930000, 33.898811
20.600000, 33.180000, 33.930000, 33.896594
40.600000, 42.000000, 33.870000, 33.894378
20.600000, 42.000000, 33.870000, 33.810787
24.258500, 42.000000, 33.870000, 33.830386
27.917000, 42.000000, 33.870000, 33.906027
43.037000, 42.000000, 33.810000, 33.884241
36.354500, 42.000000, 33.810000, 33.762093
40.040000, 42.000000, 33.810000, 33.807935
43.725500, 42.000000, 33.810000, 33.875839
47.411000, 42.000000, 33.810000, 33.891669
51.096500, 42.000000, 33.810000, 33.887475
54.782000, 42.000000, 33.810000, 33.911679
69.929000, 42.000000, 33.750000, 33.935882
63.273500, 42.000000, 33.750000, 33.878711
66.986000, 42.000000, 33.750000, 33.924731
70.698500, 42.000000, 33.750000, 33.992812
74.411000, 42.000000, 33.750000, 34.008820
78.123500, 42.000000, 33.750000, 34.004803
70.374500, 42.000000, 33.810000, 34.029184
84.428000, 42.000000, 33.810000, 34.134939
76.652000, 42.000000, 33.870000, 34.137504
79.217000, 42.000000, 33.930000, 34.199382
79.844750, 42.000000, 34.000000, 34.291517
84.079250, 42.000000, 34.060000, 34.373361
86.558750, 42.000000, 34.120000, 34.417805
89.011250, 42.000000, 34.180000, 34.486793
89.526500, 42.000000, 34.250000, 34.564281
82.187000, 42.000000, 34.370000, 34.658493
81.523250, 42.000000, 34.500000, 34.811970
95.900750, 42.000000, 34.560000, 34.953340
86.693750, 42.000000, 34.680000, 34.960760
85.890500, 42.000000, 34.810000, 35.079050
75.295250, 42.000000, 35.000000, 35.264953
