heater_temp, environment_temp
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.870000
35.870000, 29.870000
35.930000, 29.870000
35.930000, 29.870000
35.930000, 29.870000
35.870000, 29.870000
35.870000, 29.870000
35.930000, 29.870000
35.930000, 29.810000
35.930000, 29.810000
35.930000, 29.870000
35.930000, 29.870000
35.930000, 29.870000
35.930000, 29.870000
35.930000, 29.870000
35.930000, 29.870000
35.930000, 29.870000
36.000000, 29.870000
35.930000, 29.810000
36.000000, 29.810000
36.000000, 29.750000
36.000000, 29.750000
36.000000, 29.680000
36.000000, 29.750000
36.000000, 29.750000
36.000000, 29.750000
36.000000, 29.680000
36.000000, 29.680000
36.060000, 29.750000
36.000000, 29.750000
36.060000, 29.750000
36.060000, 29.750000
36.060000, 29.810000
36.060000, 29.750000
36.060000, 29.750000
36.120000, 29.810000
36.060000, 29.750000
36.120000, 29.750000
36.060000, 29.750000
36.060000, 29.750000
36.120000, 29.750000
36.060000, 29.750000
36.060000, 29.810000
36.060000, 29.810000
36.120000, 29.750000
36.120000, 29.750000
36.120000, 29.750000
36.120000, 29.750000
36.120000, 29.750000
36.120000, 29.750000
36.120000, 29.750000
36.120000, 29.750000
36.120000, 29.750000
36.120000, 29.750000
36.120000, 29.750000
36.180000, 29.750000
36.180000, 29.750000
36.180000, 29.750000
36.180000, 29.750000
36.180000, 29.750000
36.180000, 29.750000
36.180000, 29.750000
36.180000, 29.750000
36.180000, 29.750000
36.180000, 29.750000
36.180000, 29.810000
36.180000, 29.810000
36.180000, 29.810000
36.180000, 29.750000
36.180000, 29.810000
36.180000, 29.810000
36.180000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
36.180000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
36.180000, 29.810000
36.180000, 29.870000
36.180000, 29.870000
36.180000, 29.810000
36.180000, 29.810000
36.180000, 29.870000
36.180000, 29.810000
36.180000, 29.810000
36.180000, 29.810000
36.180000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
36.250000, 29.870000
36.250000, 29.810000
36.250000, 29.810000
36.310000, 29.810000
36.250000, 29.810000
36.310000, 29.750000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.620000
36.310000, 29.620000
36.310000, 29.620000
36.310000, 29.620000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.750000
36.310000, 29.680000
36.310000, 29.680000
36.250000, 29.680000
36.250000, 29.680000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.680000
36.310000, 29.750000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.680000
36.250000, 29.680000
36.310000, 29.680000
36.250000, 29.750000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.750000
36.250000, 29.680000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.750000
36.250000, 29.680000
36.310000, 29.750000
36.310000, 29.680000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.680000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.680000
36.310000, 29.680000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.750000
36.310000, 29.810000
36.310000, 29.810000
36.310000, 29.810000
36.310000, 29.810000
36.310000, 29.810000
36.310000, 29.810000
36.310000, 29.810000
36.310000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
36.250000, 29.810000
