u(k), y(k)
u(k), y(k)
24.888626, 34.430000
24.577340, 34.370000
24.372983, 34.370000
24.768108, 34.310000
25.612420, 34.250000
26.267155, 34.250000
26.760865, 34.250000
27.717827, 34.180000
28.921089, 34.120000
29.771379, 34.120000
100.000000, 34.060000
100.000000, 34.060000
100.000000, 34.000000
100.000000, 33.930000
100.000000, 33.930000
100.000000, 33.930000
100.000000, 33.870000
100.000000, 33.870000
100.000000, 33.930000
100.000000, 33.930000
100.000000, 34.000000
100.000000, 34.060000
100.000000, 34.180000
100.000000, 34.250000
100.000000, 34.370000
100.000000, 34.500000
100.000000, 34.680000
100.000000, 34.810000
100.000000, 34.930000
100.000000, 35.120000
100.000000, 35.310000
100.000000, 35.500000
100.000000, 35.750000
100.000000, 35.930000
100.000000, 36.120000
100.000000, 36.370000
100.000000, 36.620000
100.000000, 36.810000
100.000000, 37.060000
100.000000, 37.250000
100.000000, 37.500000
100.000000, 37.750000
100.000000, 37.930000
100.000000, 38.180000
100.000000, 38.430000
100.000000, 38.620000
100.000000, 38.870000
100.000000, 39.120000
100.000000, 39.310000
100.000000, 39.560000
100.000000, 39.810000
100.000000, 40.000000
100.000000, 40.250000
100.000000, 40.430000
100.000000, 40.680000
100.000000, 40.870000
100.000000, 41.120000
100.000000, 41.310000
100.000000, 41.500000
100.000000, 41.680000
