u(k), y(k), y_simulation(k)
26.427451, 32.750000, 32.800000
26.744462, 32.750000, 32.800000
26.456432, 32.810000, 32.800000
26.738080, 32.750000, 32.800000
26.423345, 32.810000, 32.800000
26.172650, 32.810000, 32.800000
25.977109, 32.810000, 32.800000
25.828561, 32.810000, 32.800000
25.719585, 32.810000, 32.800000
25.643513, 32.810000, 32.800000
100.000000, 32.810000, 32.800000
100.000000, 32.810000, 32.800000
100.000000, 32.810000, 32.800428
100.000000, 32.810000, 32.801679
100.000000, 32.810000, 32.803227
100.000000, 32.810000, 32.804959
100.000000, 32.810000, 32.806656
100.000000, 32.870000, 32.807841
100.000000, 32.870000, 32.808413
100.000000, 32.930000, 32.808422
100.000000, 33.000000, 32.807967
100.000000, 33.060000, 32.807158
100.000000, 33.180000, 32.880651
100.000000, 33.250000, 33.041894
100.000000, 33.370000, 33.239887
100.000000, 33.560000, 33.452533
100.000000, 33.680000, 33.670270
100.000000, 33.870000, 33.888963
100.000000, 34.000000, 34.106834
100.000000, 34.250000, 34.323125
100.000000, 34.430000, 34.537517
100.000000, 34.620000, 34.749887
100.000000, 34.870000, 34.960191
100.000000, 35.060000, 35.168423
100.000000, 35.310000, 35.374592
100.000000, 35.500000, 35.578714
100.000000, 35.750000, 35.780807
100.000000, 36.000000, 35.980889
100.000000, 36.180000, 36.178981
100.000000, 36.430000, 36.375102
100.000000, 36.680000, 36.569271
100.000000, 36.870000, 36.761509
100.000000, 37.120000, 36.951833
100.000000, 37.370000, 37.140264
100.000000, 37.560000, 37.326820
100.000000, 37.810000, 37.511520
100.000000, 38.060000, 37.694382
100.000000, 38.250000, 37.875424
100.000000, 38.430000, 38.054665
100.000000, 38.680000, 38.232122
100.000000, 38.870000, 38.407814
100.000000, 39.120000, 38.581758
100.000000, 39.370000, 38.753971
100.000000, 39.560000, 38.924470
100.000000, 39.750000, 39.093273
100.000000, 40.000000, 39.260396
100.000000, 40.180000, 39.425856
100.000000, 40.370000, 39.589670
100.000000, 40.560000, 39.751854
100.000000, 40.810000, 39.912424
100.000000, 41.000000, 40.071396
100.000000, 41.180000, 40.228787
100.000000, 41.310000, 40.384611
100.000000, 41.500000, 40.538885
100.000000, 41.680000, 40.691624
100.000000, 41.870000, 40.842843
100.000000, 42.060000, 40.992558
99.237626, 42.250000, 41.140783
97.374916, 42.430000, 41.287533
95.139391, 42.560000, 41.432822
92.754778, 42.680000, 41.576666
89.711654, 42.870000, 41.719079
86.233766, 43.060000, 41.860075
83.100697, 43.180000, 41.999668
80.216433, 43.310000, 42.137872
77.073370, 43.500000, 42.274700
74.399801, 43.620000, 42.410168
72.057455, 43.750000, 42.544287
69.589961, 43.930000, 42.677072
67.498738, 44.060000, 42.807771
65.799040, 44.180000, 42.934396
64.304186, 44.310000, 43.054908
63.025953, 44.430000, 43.168036
62.298775, 44.500000, 43.272503
61.497959, 44.620000, 43.366877
61.082493, 44.680000, 43.450615
60.285818, 44.810000, 43.524055
59.728021, 44.870000, 43.587330
59.282825, 44.930000, 43.640827
58.772986, 45.000000, 43.685457
58.240040, 45.060000, 43.721784
57.635616, 45.120000, 43.750380
57.445474, 45.120000, 43.772211
57.526670, 45.120000, 43.788232
57.770143, 45.120000, 43.799257
57.584886, 45.180000, 43.806379
57.561734, 45.180000, 43.810434
57.642229, 45.180000, 43.812127
57.781065, 45.180000, 43.811684
57.942681, 45.180000, 43.809165
58.102161, 45.180000, 43.804902
58.754933, 45.120000, 43.799065
59.242719, 45.120000, 43.791667
59.577897, 45.120000, 43.782631
60.289536, 45.060000, 43.772295
60.754188, 45.060000, 43.761398
61.019424, 45.060000, 43.750625
61.639399, 45.000000, 43.739966
62.002647, 45.000000, 43.729253
62.760005, 44.930000, 43.718639
63.205274, 44.930000, 43.708329
63.918088, 44.870000, 43.698473
64.310700, 44.870000, 43.689150
64.971310, 44.810000, 43.680884
65.321693, 44.810000, 43.674100
65.951734, 44.750000, 43.668695
66.282355, 44.750000, 43.664880
66.989904, 44.680000, 43.662773
67.896370, 44.620000, 43.662028
68.433796, 44.620000, 43.662694
69.202447, 44.560000, 43.664794
69.632332, 44.560000, 43.668532
70.321765, 44.500000, 43.673972
71.295684, 44.430000, 43.681162
71.881660, 44.430000, 43.689996
72.172534, 44.430000, 43.700444
72.245490, 44.430000, 43.712378
72.164785, 44.430000, 43.725778
72.495388, 44.370000, 43.740540
72.122002, 44.430000, 43.756763
72.263860, 44.370000, 43.774965
72.303111, 44.370000, 43.795138
72.281593, 44.370000, 43.817220
72.231046, 44.370000, 43.841010
72.175652, 44.370000, 43.866415
72.137711, 44.370000, 43.893867
72.133853, 44.370000, 43.923367
72.170825, 44.370000, 43.954315
72.246739, 44.370000, 43.986003
72.353835, 44.370000, 44.017804
71.972696, 44.430000, 44.049745
71.739958, 44.430000, 44.081442
71.624933, 44.430000, 44.112715
71.603059, 44.430000, 44.143776
71.054414, 44.500000, 44.174580
70.713033, 44.500000, 44.205032
70.023899, 44.560000, 44.235068
69.596117, 44.560000, 44.264677
69.377053, 44.560000, 44.293902
68.809092, 44.620000, 44.322833
68.500410, 44.620000, 44.351577
68.398268, 44.620000, 44.380245
68.453664, 44.620000, 44.408417
68.108890, 44.680000, 44.435696
67.972960, 44.680000, 44.462147
67.995958, 44.680000, 44.487984
67.534286, 44.750000, 44.512846
67.300746, 44.750000, 44.536391
67.234258, 44.750000, 44.558291
67.282847, 44.750000, 44.578410
66.894049, 44.810000, 44.597108
66.680990, 44.810000, 44.614357
66.595789, 44.810000, 44.630146
66.089213, 44.870000, 44.644885
65.780944, 44.870000, 44.659068
65.627060, 44.870000, 44.672629
65.589146, 44.870000, 44.685449
65.637265, 44.870000, 44.697799
65.231345, 44.930000, 44.709433
64.992609, 44.930000, 44.720110
64.881727, 44.930000, 44.730074
64.270033, 45.000000, 44.739673
63.883342, 45.000000, 44.748708
63.671388, 45.000000, 44.756944
63.592811, 45.000000, 44.764543
63.610526, 45.000000, 44.771253
63.691880, 45.000000, 44.776853
63.812166, 45.000000, 44.781556
63.441421, 45.060000, 44.785694
63.214301, 45.060000, 44.789586
63.098127, 45.060000, 44.792979
63.062779, 45.060000, 44.795594
63.084405, 45.060000, 44.797567
63.140436, 45.060000, 44.798557
63.210239, 45.060000, 44.798269
63.279624, 45.060000, 44.796930
63.853847, 45.000000, 44.794907
64.284835, 45.000000, 44.792561
64.595381, 45.000000, 44.790185
65.406164, 44.930000, 44.787990
65.381986, 45.000000, 44.785606
65.312772, 45.000000, 44.782646
65.206481, 45.000000, 44.779167
65.670203, 44.930000, 44.775361
65.959934, 44.930000, 44.771432
66.110134, 44.930000, 44.767544
66.151525, 44.930000, 44.763808
66.110769, 44.930000, 44.760281
66.014792, 44.930000, 44.757491
65.889484, 44.930000, 44.755900
65.755035, 44.930000, 44.755470
65.630410, 44.930000, 44.756588
65.527297, 44.930000, 44.758953
65.447145, 44.930000, 44.761753
65.386869, 44.930000, 44.764564
65.346700, 44.930000, 44.767749
65.329816, 44.930000, 44.771717
64.738789, 45.000000, 44.776369
64.324611, 45.000000, 44.781443
64.057103, 45.000000, 44.786661
63.907526, 45.000000, 44.791783
63.849498, 45.000000, 44.796638
63.859679, 45.000000, 44.801120
