u(k), y(k)
27.538825, 34.620000
28.680064, 34.620000
29.489745, 34.620000
30.026575, 34.620000
30.855190, 34.560000
31.375167, 34.560000
31.647343, 34.560000
31.724377, 34.560000
31.651360, 34.560000
31.466467, 34.560000
100.000000, 34.560000
100.000000, 34.560000
100.000000, 34.560000
100.000000, 34.560000
100.000000, 34.500000
100.000000, 34.500000
100.000000, 34.560000
100.000000, 34.560000
100.000000, 34.620000
100.000000, 34.620000
100.000000, 34.680000
100.000000, 34.810000
100.000000, 34.870000
100.000000, 35.000000
100.000000, 35.180000
100.000000, 35.250000
100.000000, 35.430000
100.000000, 35.620000
100.000000, 35.750000
100.000000, 35.930000
100.000000, 36.120000
100.000000, 36.310000
100.000000, 36.500000
100.000000, 36.680000
100.000000, 36.930000
100.000000, 37.120000
100.000000, 37.310000
100.000000, 37.560000
100.000000, 37.750000
100.000000, 38.000000
100.000000, 38.250000
100.000000, 38.430000
100.000000, 38.620000
100.000000, 38.870000
100.000000, 39.060000
100.000000, 39.310000
100.000000, 39.560000
100.000000, 39.750000
100.000000, 39.930000
100.000000, 40.180000
100.000000, 40.370000
100.000000, 40.620000
100.000000, 40.810000
100.000000, 41.000000
100.000000, 41.180000
100.000000, 41.430000
100.000000, 41.620000
100.000000, 41.810000
99.235218, 42.000000
97.392012, 42.180000
94.166204, 42.430000
90.469197, 42.620000
86.496631, 42.810000
82.404241, 43.000000
78.398840, 43.180000
74.464841, 43.370000
70.673218, 43.560000
67.074023, 43.750000
63.785605, 43.930000
61.232278, 44.060000
59.372013, 44.180000
57.454514, 44.370000
55.991646, 44.500000
54.912679, 44.620000
53.967732, 44.750000
53.637129, 44.810000
53.159063, 44.930000
52.894497, 45.000000
52.775066, 45.060000
52.663630, 45.120000
52.461271, 45.180000
52.020493, 45.250000
51.934126, 45.250000
51.547434, 45.310000
51.400925, 45.310000
51.399906, 45.310000
51.476624, 45.310000
51.587186, 45.310000
51.704253, 45.310000
51.810760, 45.310000
51.898329, 45.310000
51.963974, 45.310000
52.006524, 45.310000
52.536239, 45.250000
52.906746, 45.250000
53.738426, 45.180000
54.298540, 45.180000
55.147025, 45.120000
56.195715, 45.060000
57.374506, 45.000000
58.713441, 44.930000
59.548422, 44.930000
60.494675, 44.870000
61.507481, 44.810000
62.550724, 44.750000
63.685533, 44.680000
64.789137, 44.620000
65.345398, 44.620000
66.000833, 44.560000
66.736932, 44.500000
67.029003, 44.500000
67.601591, 44.430000
68.322675, 44.370000
68.658460, 44.370000
69.232267, 44.310000
70.002501, 44.250000
70.420214, 44.250000
70.587673, 44.250000
70.589884, 44.250000
71.089593, 44.180000
71.380554, 44.180000
72.037640, 44.120000
72.462605, 44.120000
72.713872, 44.120000
72.842511, 44.120000
72.889099, 44.120000
73.398470, 44.060000
73.240496, 44.120000
73.104138, 44.120000
73.511539, 44.060000
73.818370, 44.060000
74.047675, 44.060000
73.707862, 44.120000
73.464658, 44.120000
72.800926, 44.180000
72.354215, 44.180000
71.492673, 44.250000
70.423376, 44.310000
69.739283, 44.310000
68.857214, 44.370000
68.356197, 44.370000
67.647002, 44.430000
66.714607, 44.500000
66.236904, 44.500000
65.605148, 44.560000
64.864653, 44.620000
64.047421, 44.680000
63.091138, 44.750000
62.631814, 44.750000
62.027088, 44.810000
61.301045, 44.870000
60.475638, 44.930000
60.085284, 44.930000
59.419007, 45.000000
59.133478, 45.000000
58.612361, 45.060000
58.417630, 45.060000
58.457861, 45.060000
58.655762, 45.060000
58.433151, 45.120000
58.898806, 45.060000
58.836489, 45.120000
59.379002, 45.060000
59.325607, 45.120000
59.825592, 45.060000
60.208383, 45.060000
60.478674, 45.060000
60.644322, 45.060000
61.228843, 45.000000
61.602206, 45.000000
61.805219, 45.000000
61.872882, 45.000000
61.838306, 45.000000
61.730536, 45.000000
62.174270, 44.930000
62.437429, 44.930000
62.563086, 44.930000
62.590416, 44.930000
63.064199, 44.870000
63.363048, 44.870000
