u(k), y(k)
44.810000, 46.224542, 44.810000
46.212007, 44.810000, 46.209844
44.810000, 46.225374, 44.810000
46.257841, 44.810000, 46.299685
44.810000, 46.346889, 44.810000
46.399737, 44.810000, 46.971442
44.750000, 47.415726, 44.750000
47.752832, 44.750000, 48.000103
44.750000, 48.172566, 44.750000
48.283384, 44.750000, 48.344193
44.750000, 47.852432, 44.810000
47.975796, 44.750000, 48.054996
44.750000, 48.099533, 44.750000
47.604753, 44.810000, 47.227665
44.810000, 47.472585, 44.750000
47.684759, 44.750000, 47.875112
44.750000, 48.050623, 44.750000
47.702212, 44.810000, 47.476953
44.810000, 47.348542, 44.810000
47.293718, 44.810000, 47.809107
44.750000, 47.723241, 44.810000
47.688042, 44.810000, 47.684089
44.810000, 48.212968, 44.750000
48.625638, 44.750000, 48.430037
44.810000, 48.290549, 44.810000
48.197190, 44.810000, 48.137006
44.810000, 47.586174, 44.870000
47.182500, 44.870000, 46.903649
44.870000, 46.730505, 44.870000
46.642805, 44.870000, 46.109282
44.930000, 45.764196, 44.930000
45.579939, 44.930000, 45.527300
44.930000, 45.575440, 44.930000
45.696804, 44.930000, 45.868488
44.930000, 46.067767, 44.930000
46.273019, 44.930000, 46.468124
44.930000, 46.044595, 45.000000
45.750632, 45.000000, 45.555246
45.000000, 46.028553, 44.930000
45.797376, 45.000000, 45.625575
45.000000, 45.501095, 45.000000
45.416141, 45.000000, 45.365780
45.000000, 45.346799, 45.000000
45.356779, 45.000000, 45.393442
45.000000, 44.936185, 45.060000
44.619007, 45.060000, 44.410446
45.060000, 44.289943, 45.060000
44.240536, 45.060000, 44.243843
45.060000, 44.796682, 45.000000
45.240688, 45.000000, 45.588146
45.000000, 45.851668, 45.000000
46.043811, 45.000000, 46.176741
45.000000, 46.257529, 45.000000
46.289307, 45.000000, 46.275347
45.000000, 46.221013, 45.000000
46.731829, 44.930000, 46.464385
45.000000, 46.210088, 45.000000
46.579697, 44.930000, 46.829667
44.930000, 46.991024, 44.930000
47.088085, 44.930000, 47.139407
44.930000, 47.158818, 44.930000
47.156320, 44.930000, 47.138852
44.930000, 47.110961, 44.930000
46.482096, 45.000000, 46.608631
44.930000, 46.710131, 44.930000
46.192864, 45.000000, 45.818392
45.000000, 45.568247, 45.000000
46.022749, 44.930000, 46.411200
44.930000, 46.144130, 45.000000
45.982077, 45.000000, 45.905800
45.000000, 45.898132, 45.000000
45.426008, 45.060000, 45.118708
45.060000, 44.945975, 45.060000
44.878066, 45.060000, 44.885524
45.060000, 44.944259, 45.060000
45.041620, 45.060000, 45.173990
45.060000, 45.334567, 45.060000
45.512491, 45.060000, 45.697965
45.060000, 45.883590, 45.060000
46.059912, 45.060000, 46.216693
45.060000, 46.347527, 45.060000
46.450446, 45.060000, 46.526982
45.060000, 46.580923, 45.060000
46.617244, 45.060000, 48.918380
45.060000, 50.930249, 45.060000
52.687761, 45.060000, 54.220574
45.060000, 55.553635, 45.060000
56.669142, 45.060000, 57.597456
45.060000, 58.365058, 45.060000
58.994981, 45.060000, 60.020142
45.000000, 60.812373, 45.000000
61.408674, 45.000000, 61.861141
45.000000, 62.233402, 45.000000
62.516346, 45.000000, 62.667968
45.000000, 62.687938, 45.000000
63.194879, 44.930000, 63.463771
44.930000, 63.549110, 44.930000
63.499652, 44.930000, 62.762844
45.000000, 62.731347, 44.930000
62.658289, 44.930000, 61.970406
45.000000, 61.437992, 45.000000
61.046379, 45.000000, 60.265383
45.060000, 59.721195, 45.060000
59.376517, 45.060000, 59.199861
45.060000, 59.160681, 45.060000
58.715902, 45.120000, 58.477070
45.120000, 58.392495, 45.120000
58.422244, 45.120000, 58.015935
45.180000, 57.784127, 45.180000
57.677452, 45.180000, 57.652839
45.180000, 57.075485, 45.250000
56.672199, 45.250000, 56.400708
45.250000, 56.229460, 45.250000
56.131037, 45.250000, 55.568597
45.310000, 55.683317, 45.250000
55.283849, 45.310000, 55.007618
45.310000, 54.824745, 45.310000
54.711528, 45.310000, 54.650339
45.310000, 54.623226, 45.310000
54.612249, 45.310000, 54.604196
45.310000, 54.591280, 45.310000
54.570602, 45.310000, 54.538193
45.310000, 54.493193, 45.310000
54.436321, 45.310000, 54.366744
45.310000, 54.284803, 45.310000
54.192735, 45.310000, 54.093888
45.310000, 54.505353, 45.250000
54.272873, 45.310000, 54.067314
45.310000, 54.401894, 45.250000
54.630362, 45.250000, 54.773116
45.250000, 54.847712, 45.250000
54.868829, 45.250000, 54.848296
45.250000, 55.394635, 45.180000
55.762660, 45.180000, 55.984501
45.180000, 56.092349, 45.180000
56.626050, 45.120000, 56.445728
45.180000, 56.750739, 45.120000
56.912749, 45.120000, 56.967085
45.120000, 56.942163, 45.120000
57.373107, 45.060000, 57.118492
45.120000, 57.376688, 45.060000
57.517873, 45.060000, 57.574552
45.060000, 57.571438, 45.060000
57.530547, 45.060000, 57.467215
45.060000, 57.904905, 45.000000
57.694649, 45.060000, 58.023009
45.000000, 58.244583, 45.000000
58.383210, 45.000000, 58.457261
45.000000, 58.481782, 45.000000
58.471349, 45.000000, 58.437231
45.000000, 58.985591, 44.930000
59.368625, 44.930000, 59.016740
