u(k), y(k)
26.256471, 33.370000, 26.446677
33.370000, 26.581624, 33.370000
26.671096, 33.370000, 27.236650
33.310000, 27.640323, 33.310000
27.910598, 33.310000, 28.072556
33.310000, 28.148073, 33.310000
28.156026, 33.310000, 84.536097
33.310000, 100.000000, 33.310000
100.000000, 33.310000, 100.000000
33.250000, 100.000000, 33.250000
100.000000, 33.250000, 100.000000
33.250000, 100.000000, 33.250000
100.000000, 33.310000, 100.000000
33.370000, 100.000000, 33.430000
100.000000, 33.500000, 100.000000
33.620000, 100.000000, 33.680000
100.000000, 33.870000, 100.000000
34.000000, 100.000000, 34.120000
100.000000, 34.310000, 100.000000
34.430000, 100.000000, 34.620000
100.000000, 34.810000, 100.000000
35.060000, 100.000000, 35.250000
100.000000, 35.430000, 100.000000
35.680000, 100.000000, 35.870000
100.000000, 36.120000, 98.760585
36.310000, 96.030359, 36.560000
92.733756, 36.750000, 88.565856
37.000000, 83.826498, 37.250000
78.758186, 37.500000, 74.151991
37.680000, 69.404588, 37.930000
65.167808, 38.120000, 60.901527
38.370000, 57.217846, 38.560000
53.544593, 38.810000, 50.457879
39.000000, 47.931172, 39.180000
45.220969, 39.430000, 43.364593
39.560000, 41.577054, 39.750000
40.352442, 39.870000, 38.854700
40.060000, 37.647814, 40.180000
36.476968, 40.310000, 35.322661
40.430000, 34.519206, 40.500000
33.466903, 40.620000, 32.661859
40.680000, 31.892357, 40.750000
31.174381, 40.810000, 30.956254
40.810000, 30.553998, 40.870000
30.484389, 40.870000, 30.115077
40.930000, 29.998479, 40.930000
30.042377, 40.930000, 30.687482
40.870000, 31.235157, 40.870000
31.668012, 40.870000, 31.977153
40.870000, 32.674503, 40.810000
