u(k), y(k), y_simulation(k)
u(k), y(k), y_simulation(k)
69.119135, 44.750000, 43.564609
68.644297, 44.810000, 43.586874
68.408544, 44.810000, 43.607674
67.838849, 44.870000, 43.627273
67.533712, 44.870000, 43.646066
67.430794, 44.870000, 43.663919
66.963066, 44.930000, 43.680665
66.728626, 44.930000, 43.696029
66.665633, 44.930000, 43.709880
66.127055, 45.000000, 43.722560
65.824592, 45.000000, 43.733934
65.698021, 45.000000, 43.743894
65.700218, 45.000000, 43.752823
65.791737, 45.000000, 43.760695
65.426956, 45.060000, 43.767473
65.223571, 45.060000, 43.772994
65.137205, 45.060000, 43.777208
65.134359, 45.060000, 43.780503
65.187008, 45.060000, 43.782838
65.271884, 45.060000, 43.784160
65.373230, 45.060000, 43.784798
65.476879, 45.060000, 43.784552
65.570202, 45.060000, 43.783218
65.646136, 45.060000, 43.781068
65.703000, 45.060000, 43.778486
65.743012, 45.060000, 43.775828
65.766269, 45.060000, 43.772855
65.770834, 45.060000, 43.769284
65.756721, 45.060000, 43.765235
65.726333, 45.060000, 43.760937
65.683766, 45.060000, 43.756607
65.633877, 45.060000, 43.752411
66.094460, 45.000000, 43.748464
65.911393, 45.060000, 43.744825
65.755526, 45.060000, 43.741511
65.626691, 45.060000, 43.738502
65.523739, 45.060000, 43.735756
65.444711, 45.060000, 43.733221
65.387060, 45.060000, 43.730844
65.347835, 45.060000, 43.728571
65.323832, 45.060000, 43.726344
65.824689, 45.000000, 43.724109
66.201704, 45.000000, 43.721817
66.473884, 45.000000, 43.719431
66.662556, 45.000000, 43.717443
66.272750, 45.060000, 43.715801
66.474132, 45.000000, 43.714023
66.607828, 45.000000, 43.711948
66.683816, 45.000000, 43.709558
66.711451, 45.000000, 43.706889
66.699559, 45.000000, 43.703998
66.656373, 45.000000, 43.700944
66.589431, 45.000000, 43.697784
66.509875, 45.000000, 43.695080
66.430905, 45.000000, 43.693344
66.961161, 44.930000, 43.692592
67.353747, 44.930000, 43.692660
67.632503, 44.930000, 43.692833
67.218725, 45.000000, 43.692956
67.484010, 44.930000, 43.693344
67.667067, 44.930000, 43.694020
67.784777, 44.930000, 43.694902
67.252255, 45.000000, 43.695876
67.431680, 44.930000, 43.696831
67.552711, 44.930000, 43.697674
67.026377, 45.000000, 43.698333
67.212252, 44.930000, 43.698770
66.745455, 45.000000, 43.699581
66.396908, 45.000000, 43.701342
66.155696, 45.000000, 43.704078
66.004195, 45.000000, 43.707014
65.925178, 45.000000, 43.709970
65.906707, 45.000000, 43.713304
65.938345, 45.000000, 43.717037
66.004955, 45.000000, 43.720475
66.093465, 45.000000, 43.723545
66.197198, 45.000000, 43.726697
66.306417, 45.000000, 43.729429
66.413652, 45.000000, 43.731755
66.512336, 45.000000, 43.733566
66.594090, 45.000000, 43.734443
66.653122, 45.000000, 43.734409
67.285585, 44.930000, 43.733649
67.739222, 44.930000, 43.732389
68.042746, 44.930000, 43.730843
68.223447, 44.930000, 43.729200
68.306572, 44.930000, 43.727616
68.314830, 44.930000, 43.726205
68.268126, 44.930000, 43.725048
68.183463, 44.930000, 43.724193
68.074956, 44.930000, 43.723664
67.355521, 45.000000, 43.723457
66.786944, 45.000000, 43.723546
65.836947, 45.060000, 43.723883
65.137507, 45.060000, 43.725002
61.241966, 45.060000, 43.727385
57.959163, 45.060000, 43.730943
55.214073, 45.060000, 43.735397
52.939545, 45.060000, 43.740431
51.074968, 45.060000, 43.745755
49.052084, 45.120000, 43.751134
47.465843, 45.120000, 43.756386
46.248353, 45.120000, 43.761381
44.820687, 45.180000, 43.765435
43.765800, 45.180000, 43.767947
43.003867, 45.180000, 43.768401
41.866253, 45.250000, 43.766550
41.020354, 45.250000, 43.759288
40.345037, 45.250000, 43.754773
39.324320, 45.310000, 43.758916
38.657046, 45.310000, 43.766756
38.317254, 45.310000, 43.775510
37.736317, 45.370000, 43.783176
37.492972, 45.370000, 43.788563
37.502066, 45.370000, 43.791427
37.686065, 45.370000, 43.791441
37.978036, 45.370000, 43.788488
38.838915, 45.310000, 43.782966
39.580462, 45.310000, 43.774810
40.190334, 45.310000, 43.763948
40.664705, 45.310000, 43.750712
41.515855, 45.250000, 43.735009
42.101359, 45.250000, 43.716887
43.052388, 45.180000, 43.696960
43.648890, 45.180000, 43.675499
44.461928, 45.120000, 43.652779
45.416059, 45.060000, 43.629430
45.942789, 45.060000, 43.606088
46.647558, 45.000000, 43.583267
46.971293, 45.000000, 43.561834
47.612395, 44.930000, 43.542464
48.414603, 44.870000, 43.525213
48.825184, 44.870000, 43.509858
49.457819, 44.810000, 43.496567
49.751926, 44.810000, 43.485421
50.314056, 44.750000, 43.476607
